item_id;onderdeel;n;p_waarde
Ank23d_Bg_1F_15;LEZEN;2000;0,666
Ank23d_Bg_1F_16;LEZEN;2000;0,7445
Ank23d_Ip_1F_14;LEZEN;2000;0,8065
Ank23d_Ip_1F_18;LEZEN;2000;0,783
Ank23d_Ip_1F_19;LEZEN;2000;0,8165
Ank23d_Ip_1F_20;LEZEN;2000;0,9775
Ank23d_Op_2F_02;LEZEN;2000;0,792
Ank23d_Op_2F_21;LEZEN;2000;0,606
Ank23d_Tw_1F_13;LEZEN;2000;0,887
Ank23dp_Op_1F_01;LEZEN;2000;0,9015
Ank23dp_Sv_2F_03;LEZEN;2000;0,8025
Ank23dp_Sv_2F_04;LEZEN;2000;0,765
Ank23dp_Sv_2F_05;LEZEN;2000;0,55
Ank23dp_Sv_2F_06;LEZEN;2000;0,498
Ank23dp_Sv_2F_07;LEZEN;2000;0,7415
Ank23p_Bg_1F_21;LEZEN;2000;0,754
Ank23p_Ip_1F_15;LEZEN;2000;0,6475
Ank23p_Ip_1F_18;LEZEN;2000;0,557
Ank23p_Ip_1F_19;LEZEN;2000;0,613
Ank23p_Ip_1F_20;LEZEN;2000;0,808
Ank24dp_Ip_1F_01;LEZEN;2000;0,7445
Ank24dp_Op_1F_04;LEZEN;2000;0,6295
DUMMY1_LEZEN_1;LEZEN;2000;0,568
DUMMY1_LEZEN_10;LEZEN;2000;0,114
DUMMY1_LEZEN_11;LEZEN;2000;0,964
DUMMY1_LEZEN_12;LEZEN;2000;0,0455
DUMMY1_LEZEN_13;LEZEN;2000;0,149
DUMMY1_LEZEN_14;LEZEN;2000;0,367
DUMMY1_LEZEN_15;LEZEN;2000;0,2185
DUMMY1_LEZEN_16;LEZEN;2000;0,385
DUMMY1_LEZEN_17;LEZEN;2000;0,3585
DUMMY1_LEZEN_18;LEZEN;2000;0,763
DUMMY1_LEZEN_19;LEZEN;2000;0,853
DUMMY1_LEZEN_2;LEZEN;2000;0,898
DUMMY1_LEZEN_20;LEZEN;2000;0,1435
DUMMY1_LEZEN_21;LEZEN;2000;0,363
DUMMY1_LEZEN_22;LEZEN;2000;0,6485
DUMMY1_LEZEN_23;LEZEN;2000;0,2815
DUMMY1_LEZEN_24;LEZEN;2000;0,05
DUMMY1_LEZEN_25;LEZEN;2000;0,1325
DUMMY1_LEZEN_26;LEZEN;2000;0,018
DUMMY1_LEZEN_27;LEZEN;2000;0,7375
DUMMY1_LEZEN_28;LEZEN;2000;0,867
DUMMY1_LEZEN_3;LEZEN;2000;0,4345
DUMMY1_LEZEN_4;LEZEN;2000;0,313
DUMMY1_LEZEN_5;LEZEN;2000;0,867
DUMMY1_LEZEN_6;LEZEN;2000;0,649
DUMMY1_LEZEN_7;LEZEN;2000;0,4035
DUMMY1_LEZEN_8;LEZEN;2000;0,3505
DUMMY1_LEZEN_9;LEZEN;2000;0,327
Ank23d_IP_1F_02;TAAL;2000;0,9185
