person_id;schooltype;schooladvies
DUMMY1_1;1;0
DUMMY1_2;1;3
DUMMY1_3;1;6
DUMMY1_4;1;2
DUMMY1_5;1;5
DUMMY1_6;1;1
DUMMY1_7;1;0
DUMMY1_8;1;5
DUMMY1_9;1;10
DUMMY1_10;2;2
DUMMY1_11;1;3
DUMMY1_12;1;2
DUMMY1_13;1;0
DUMMY1_14;1;5
DUMMY1_15;1;6
DUMMY1_16;1;0
DUMMY1_17;1;1
DUMMY1_18;1;4
DUMMY1_19;1;1
DUMMY1_20;1;2
DUMMY1_21;1;5
DUMMY1_22;1;9
DUMMY1_23;1;7
DUMMY1_24;1;8
DUMMY1_25;1;5
DUMMY1_26;1;10
DUMMY1_27;2;0
DUMMY1_28;1;6
DUMMY1_29;1;0
DUMMY1_30;1;8
DUMMY1_31;1;6
DUMMY1_32;2;3
DUMMY1_33;1;3
DUMMY1_34;1;7
DUMMY1_35;1;6
DUMMY1_36;1;0
DUMMY1_37;1;8
DUMMY1_38;1;2
DUMMY1_39;1;3
DUMMY1_40;2;7
DUMMY1_41;1;2
DUMMY1_42;1;2
DUMMY1_43;1;0
DUMMY1_44;1;10
DUMMY1_45;1;0
DUMMY1_46;1;1
DUMMY1_47;1;8
DUMMY1_48;1;10
DUMMY1_49;1;8
DUMMY1_50;1;0
DUMMY1_51;1;10
DUMMY1_52;1;1
DUMMY1_53;1;8
DUMMY1_54;1;3
DUMMY1_55;1;6
DUMMY1_56;2;6
DUMMY1_57;1;8
DUMMY1_58;1;7
DUMMY1_59;2;1
DUMMY1_60;1;1
DUMMY1_61;1;0
DUMMY1_62;1;0
DUMMY1_63;1;2
DUMMY1_64;1;4
DUMMY1_65;1;4
DUMMY1_66;1;8
DUMMY1_67;1;0
DUMMY1_68;2;3
DUMMY1_69;1;0
DUMMY1_70;1;0
DUMMY1_71;1;4
DUMMY1_72;1;2
DUMMY1_73;1;0
DUMMY1_74;2;3
DUMMY1_75;1;0
DUMMY1_76;1;5
DUMMY1_77;1;5
DUMMY1_78;1;0
DUMMY1_79;1;5
DUMMY1_80;1;6
DUMMY1_81;1;1
DUMMY1_82;1;3
DUMMY1_83;1;0
DUMMY1_84;1;4
DUMMY1_85;1;0
DUMMY1_86;1;0
DUMMY1_87;1;0
DUMMY1_88;1;0
DUMMY1_89;1;3
DUMMY1_90;1;10
DUMMY1_91;1;4
DUMMY1_92;1;0
DUMMY1_93;1;0
DUMMY1_94;1;0
DUMMY1_95;1;0
DUMMY1_96;1;9
DUMMY1_97;1;10
DUMMY1_98;1;1
DUMMY1_99;1;0
DUMMY1_100;1;0
DUMMY1_101;1;9
DUMMY1_102;1;0
DUMMY1_103;1;9
DUMMY1_104;1;6
DUMMY1_105;1;5
DUMMY1_106;1;4
DUMMY1_107;1;6
DUMMY1_108;1;10
DUMMY1_109;1;0
DUMMY1_110;1;6
DUMMY1_111;1;7
DUMMY1_112;1;4
DUMMY1_113;1;7
DUMMY1_114;1;7
DUMMY1_115;1;8
DUMMY1_116;2;5
DUMMY1_117;2;4
DUMMY1_118;1;8
DUMMY1_119;2;6
DUMMY1_120;1;3
DUMMY1_121;1;0
DUMMY1_122;1;0
DUMMY1_123;1;0
DUMMY1_124;1;5
DUMMY1_125;1;6
DUMMY1_126;1;1
DUMMY1_127;1;6
DUMMY1_128;1;0
DUMMY1_129;1;7
DUMMY1_130;1;7
DUMMY1_131;1;4
DUMMY1_132;1;6
DUMMY1_133;1;0
DUMMY1_134;1;10
DUMMY1_135;1;0
DUMMY1_136;1;0
DUMMY1_137;1;3
DUMMY1_138;1;6
DUMMY1_139;1;0
DUMMY1_140;1;0
DUMMY1_141;1;8
DUMMY1_142;1;0
DUMMY1_143;1;9
DUMMY1_144;1;10
DUMMY1_145;1;3
DUMMY1_146;1;0
DUMMY1_147;1;1
DUMMY1_148;2;0
DUMMY1_149;1;5
DUMMY1_150;1;9
DUMMY1_151;1;8
DUMMY1_152;2;0
DUMMY1_153;2;9
DUMMY1_154;1;7
DUMMY1_155;1;0
DUMMY1_156;1;0
DUMMY1_157;1;4
DUMMY1_158;1;2
DUMMY1_159;1;0
DUMMY1_160;1;4
DUMMY1_161;1;0
DUMMY1_162;1;0
DUMMY1_163;1;0
DUMMY1_164;1;5
DUMMY1_165;1;4
DUMMY1_166;2;0
DUMMY1_167;1;7
DUMMY1_168;1;2
DUMMY1_169;1;6
DUMMY1_170;1;4
DUMMY1_171;1;7
DUMMY1_172;1;7
DUMMY1_173;1;5
DUMMY1_174;1;9
DUMMY1_175;1;0
DUMMY1_176;1;9
DUMMY1_177;1;0
DUMMY1_178;1;7
DUMMY1_179;1;8
DUMMY1_180;1;7
DUMMY1_181;1;0
DUMMY1_182;1;3
DUMMY1_183;1;0
DUMMY1_184;1;5
DUMMY1_185;1;1
DUMMY1_186;1;1
DUMMY1_187;1;3
DUMMY1_188;1;7
DUMMY1_189;1;0
DUMMY1_190;2;6
DUMMY1_191;1;5
DUMMY1_192;1;2
DUMMY1_193;1;2
DUMMY1_194;1;0
DUMMY1_195;1;0
DUMMY1_196;1;2
DUMMY1_197;1;9
DUMMY1_198;1;6
DUMMY1_199;1;0
DUMMY1_200;1;7
DUMMY1_201;1;5
DUMMY1_202;1;3
